MSMEG_0560	0.529048144
MSMEG_0561	0.250924124
MSMEG_0563	0.513145989
MSMEG_0562	0.357833324
MSMEG_0564	0.93023415
MSMEG_0565	#DIV/0!
MSMEG_0566	#DIV/0!
MSMEG_0567	#DIV/0!
MSMEG_0568	#DIV/0!
MSMEG_0569	#DIV/0!
MSMEG_0570	#DIV/0!
MSMEG_0571	#DIV/0!
MSMEG_0572	#DIV/0!
MSMEG_0574	1.041154785
MSMEG_0573	#DIV/0!
MSMEG_0575	0.66694417
MSMEG_0576	0.223335002
MSMEG_0577	#DIV/0!
MSMEG_0578	#DIV/0!
MSMEG_0580	1.540831411
MSMEG_0579	0.453559832
MSMEG_0581	1.33190487
MSMEG_0582	0.709273833
MSMEG_0583	#DIV/0!
MSMEG_0584	0.55999343
MSMEG_0585	0.467316695
MSMEG_0586	0.788570652
MSMEG_0587	#DIV/0!
MSMEG_0588	0.358879703
MSMEG_0589	0.60243963
MSMEG_0590	0.686082234
MSMEG_0591	#DIV/0!
MSMEG_0592	0.602302784
MSMEG_0593	0.898687064
MSMEG_0594	0.925827532
MSMEG_0595	0.759268927
MSMEG_0596	0.446381561
MSMEG_0598	0.241169695
MSMEG_0597	0.478281549
MSMEG_0599	0.861018442
MSMEG_0600	1.126029895
MSMEG_0601	0.78292399
MSMEG_0602	0.90220079
MSMEG_0603	1.589216636
MSMEG_0604	0.535658985
MSMEG_0605	1.860394133
MSMEG_0606	0.59547595
MSMEG_0608	1.005912332
MSMEG_0607	0.544032376
MSMEG_0609	0.590568571
MSMEG_0610	#DIV/0!
MSMEG_0611	#DIV/0!
MSMEG_0612	0.563589667
MSMEG_0613	0.640436351
MSMEG_0614	1.52266731
MSMEG_0615	0.262910574
MSMEG_0616	0.350182748
MSMEG_0617	0.425741548
MSMEG_0618	1.218569437
MSMEG_0619	0.491218424
MSMEG_0620	4.136362467
MSMEG_0621	3.34353316
MSMEG_0622	0.248844499
MSMEG_0623	0.41247479
MSMEG_0624	0.302114321
MSMEG_0626	0.329788934
MSMEG_0625	0.807083528
MSMEG_0627	0.134213849
MSMEG_0628	1.047505195
MSMEG_0629	1.025336878
MSMEG_0630	#DIV/0!
MSMEG_0632	1.076245275
MSMEG_0634	0.38289067
MSMEG_0633	1.106885847
MSMEG_0635	0.377675899
MSMEG_0636	2.44625773
MSMEG_0637	1.045957154
MSMEG_0638	0.545579843
MSMEG_0639	1.096609244
MSMEG_0640	0.863794073
MSMEG_0641	0.50396809
MSMEG_0642	0.282910585
MSMEG_0643	1.09760921
MSMEG_0644	0.903784135
MSMEG_0645	1.333303561
MSMEG_0646	#DIV/0!
MSMEG_0648	#DIV/0!
MSMEG_0647	#DIV/0!
MSMEG_0649	0.271156227
MSMEG_0650	0.535422936
MSMEG_0651	0.936376602
MSMEG_0652	0.318474246
MSMEG_0654	0.40488096
MSMEG_0655	0.711461389
MSMEG_0656	0.771906892
MSMEG_0657	0.628800453
MSMEG_0658	#DIV/0!
MSMEG_0659	#DIV/0!
MSMEG_0660	0.449348266
MSMEG_0661	0.477706291
MSMEG_0662	0.599840285
MSMEG_0663	0.717364971
MSMEG_0664	0.58235339
MSMEG_0666	0.124282907
MSMEG_0665	0.601773123
MSMEG_0667	0.560326328
MSMEG_0668	1.365148477
MSMEG_0670	0.409253151
MSMEG_0669	3.119380438
MSMEG_0671	1.68259271
MSMEG_0672	1.206677255
MSMEG_0673	1.348161729
MSMEG_0674	0.756060644
MSMEG_0675	0.271673371
MSMEG_0676	0.753609375
MSMEG_0678	0.588570799
MSMEG_0679	0.738154022
MSMEG_0680	#DIV/0!
MSMEG_0681	0.622764451
MSMEG_0682	1.115025455
MSMEG_0683	0.793008366
MSMEG_0684	0.647924514
MSMEG_0685	0.550260586
MSMEG_0686	1.661810938
MSMEG_0687	0.264677523
MSMEG_0688	0.930368558
MSMEG_0689	3.474645843
MSMEG_0690	0.440239458
MSMEG_0691	0.230437687
MSMEG_0692	1.119983634
MSMEG_0693	0.539791554
MSMEG_0695	0.547258789
MSMEG_0696	#DIV/0!
MSMEG_0697	1.783147413
MSMEG_0698	0.275417917
MSMEG_0699	0.558888894
MSMEG_0700	0.758428582
MSMEG_0701	#DIV/0!
MSMEG_0702	1.988519388
MSMEG_0703	0.458461558
MSMEG_0704	0.470907017
MSMEG_0705	#DIV/0!
MSMEG_0706	#DIV/0!
MSMEG_0707	#DIV/0!
MSMEG_0708	0.653943065
MSMEG_0709	2.628777389
MSMEG_0710	0.531691271
MSMEG_0711	0.506992471
MSMEG_0713	0.881789462
MSMEG_0712	0.706353006
MSMEG_0714	1.67449587
MSMEG_0715	0.429643191
MSMEG_0716	0.268285923
MSMEG_0718	0.411013009
MSMEG_0717	1.813327378
MSMEG_0719	1.080913949
MSMEG_0720	#DIV/0!
MSMEG_0722	#DIV/0!
MSMEG_0723	#DIV/0!
MSMEG_0724	#DIV/0!
MSMEG_0725	#DIV/0!
MSMEG_0726	1.606385813
MSMEG_0727	#DIV/0!
MSMEG_0728	1.889485166
MSMEG_0729	0.574366649
MSMEG_0730	0.215380691
MSMEG_0731	0.899576906
MSMEG_0732	1.436605522
MSMEG_0733	2.015719898
MSMEG_0734	1.112885843
MSMEG_0735	#DIV/0!
MSMEG_0736	0.822715313
MSMEG_0737	0.630780135
MSMEG_0738	0.312866195
MSMEG_0739	0.494068762
MSMEG_0740	0.840373979
MSMEG_0741	1.036987977
MSMEG_0742	0.393325692
MSMEG_0743	0.698366996
MSMEG_0744	0.770019003
MSMEG_0745	1.040408392
MSMEG_0746	0.813834016
MSMEG_0747	0.431997623
MSMEG_0748	#DIV/0!
MSMEG_0749	0.976052314
MSMEG_0751	#DIV/0!
MSMEG_0750	0.857793368
MSMEG_0752	0.880305737
MSMEG_0753	0.716293411
MSMEG_0754	1.173620393
MSMEG_0755	0.500125691
MSMEG_0757	0.137823345
MSMEG_0756	0.579591884
MSMEG_0758	0.670132748
MSMEG_0759	0.859467082
MSMEG_0760	0.568230238
MSMEG_0761	0.525863687
MSMEG_0762	1.317504912
MSMEG_0763	0.318976938
MSMEG_0764	0.39819631
MSMEG_0765	1.203987368
MSMEG_0766	0.669394938
MSMEG_0767	0.458737499
MSMEG_0768	1.69240544
MSMEG_0769	0.640587453
MSMEG_0770	0.507416445
MSMEG_0771	1.932429051
MSMEG_0772	#DIV/0!
MSMEG_0773	0.551839858
MSMEG_0776	0.312412129
MSMEG_0775	1.150848019
MSMEG_0777	2.748224858
MSMEG_0778	#DIV/0!
MSMEG_0779	1.468511529
MSMEG_0780	1.514754519
MSMEG_0781	0.548399073
MSMEG_0782	0.553823197
MSMEG_0783	0.610337012
MSMEG_0784	0.506970927
MSMEG_0785	#DIV/0!
MSMEG_0786	0.840067951
MSMEG_0787	0.65545295
MSMEG_0788	0.228773596
MSMEG_0790	0.53942511
MSMEG_0789	1.082580539
MSMEG_0791	0.544612096
MSMEG_0792	1.132885983
MSMEG_0793	1.076438327
MSMEG_0794	0.384659032
MSMEG_0795	0.402057215
MSMEG_0796	0.297433694
MSMEG_0798	#DIV/0!
MSMEG_0799	#DIV/0!
MSMEG_0800	#DIV/0!
MSMEG_0801	#DIV/0!
MSMEG_0802	#DIV/0!
MSMEG_0803	#DIV/0!
MSMEG_0804	#DIV/0!
MSMEG_0805	0.866102939
MSMEG_0806	1.106841539
MSMEG_0807	0.624626736
MSMEG_0808	#DIV/0!
MSMEG_0809	#DIV/0!
MSMEG_0811	#DIV/0!
MSMEG_0810	0.888915238
MSMEG_0812	0.427011775
MSMEG_0813	0.970387262
MSMEG_0815	0.748465879
MSMEG_0814	4.003023654
MSMEG_0816	0.434224303
MSMEG_0817	0.360606053
MSMEG_0818	0.291447066
MSMEG_0819	1.781643694
MSMEG_0821	0.317026738
MSMEG_0820	#DIV/0!
MSMEG_0822	0.12538771
MSMEG_0823	0.953830594
MSMEG_0824	0.499116005
MSMEG_0825	1.299779592
MSMEG_0826	0.908941302
MSMEG_0827	#DIV/0!
MSMEG_0828	0.945015353
MSMEG_0829	0.845304551
MSMEG_0831	#DIV/0!
MSMEG_0830	0.293833928
MSMEG_0832	1.318767305
MSMEG_0833	0.555986534
MSMEG_0834	0.518200195
MSMEG_0835	1.595134212
MSMEG_0836	0.139274328
MSMEG_0837	1.031009343
MSMEG_0838	0.703787334
MSMEG_0839	0.80941501
MSMEG_0840	0.617802368
MSMEG_0842	5.403839099
MSMEG_0843	0.690397066
MSMEG_0844	0.780208849
MSMEG_0845	0.467601385
MSMEG_0846	0.309732128
MSMEG_0847	0.479336805
MSMEG_0848	0.455945105
